2.7274,11.724,0.40458,7.4586,6.961,1.3616,-3,3.5291,0.88205,-3,-3,-3,0.34326,9.505,0.86227,2.2989,0.78588,13.408,13.682,-3,6.1289,-3
-3,10.043,3.5821,5.7644,-3,0.71093,-3,-3,1.0597,0.46183,11.175,-3,0.23508,5.1348,0.16067,-3,-3,0.75121,-3,1.3413,0.6782,2.7538
1.9216,1.1808,2.7473,5.0259,3.9837,0.31475,0.55354,2.5921,1.6482,-3,3.0181,0.1039,0.42658,8.5275,0.77473,-3,-3,-3,-3,2.7424,-3,9.2139
0.98367,10.196,1.3121,5.6405,-3,0.68852,-3,2.2204,-3,-3,8.1105,-3,1.8979,0.66291,-3,-3,-3,-3,0.25115,3.5614,0.57473,3.6692
0.69823,3.0152,1.0806,2.049,-2.7684,0.64168,4.4368,6.763,8.3939,-2.2468,-0.59572,-2.7202,-2.3297,0.3566,-1.9611,-0.90384,-1.3356,0.4019,-2.8789,1.1441,-1.1317,5.1321
-3,9.2521,3.1091,6.2242,-3,-3,-3,0.15734,1.0772,-3,10.56,2.693,0.97433,1.1449,0.83652,0.31753,-3,-3,-3,-3,-3,3.7442
-3,1.6852,-3,0.34455,4.0526,-3,1.017,-3,-3,-3,9.626,0.39019,6.3113,0.67521,2.9936,3.4716,0.85648,0.28995,1.8672,6.3109,0.64792,0.80419
-3,6.4545,2.1558,5.0991,1.6281,0.85335,0.33281,2.4447,-3,0.22009,9.3442,-3,-3,11.607,0.31809,-3,0.25764,7.4118,0.20734,0.1777,1.8207,4.9049
-3,10.107,1.8071,4.9662,-3,-3,-3,2.0163,1.2229,1.4646,13.164,-3,0.99128,10.98,-3,-3,0.022802,6.8938,-3,0.97259,1.7633,2.7745
-3,6.9084,-3,5.9239,4.6861,6.0349,0.39451,3.0149,2.883,0.94269,16.128,-3,0.11603,13.387,3.7868,0.79663,-3,-3,3.2305,3.7564,-3,6.9931
2.4506,15.436,2.8141,4.936,-3,-3,-3,-3,2.4222,0.17328,12.863,0.44848,7.5733,7.069,-3,-3,-3,7.9737,-3,-3,1.1704,5.2329
-3,8.0911,4.2915,6.4635,0.43706,2.783,0.6748,-3,1.1519,-3,17.027,1.7856,9.3719,1.0004,0.25128,0.60449,0.10427,5.6001,0.057538,0.32084,0.3359,2.9873
1.9409,8.8439,-3,4.6351,0.15953,-3,-3,1.3425,2.904,0.65918,6.7567,-3,13.453,-3,1.0487,-3,1.0596,4.4393,-3,-3,0.050802,6.2153
0.51562,7.3112,3.8029,9.6317,2.6745,1.6351,0.75768,-3,0.96009,-3,2.0332,-3,8.41,1.5352,-3,-3,-3,6.2791,2.7863,-3,3.2089,-3
13.98,6.1585,-3,3.442,-3,0.65449,0.60756,-3,4.7178,-3,5.1582,-3,7.5648,0.84414,-3,0.2124,0.26069,6.7931,-3,2.337,3.4691,8.0508
-3,1.7476,0.86661,5.4,6.0115,3.1327,2.6331,1.9521,-3,-3,8.2183,-3,-3,13.514,-3,1.6703,-3,4.2279,1.3336,2.8119,0.89769,1.8525
5.349,16.889,1.3463,7.8133,2.2371,8.1246,1.5129,1.0303,0.2401,-3,18.622,0.75591,-3,11.745,0.92078,0.15014,0.57458,6.7434,0.41879,1.2783,1.8058,2.582
4.8327,-3,3.1538,4.7374,2.8353,9.5654,-3,-3,0.40205,-3,18.622,0.25742,-3,8.0501,-3,1.4403,-3,5.1861,0.13236,2.1428,1.4209,2.1092
7.3338,0.33047,1.3821,6.1343,2.74,4.6372,3.8143,-3,3.3926,0.30048,15.267,-3,-3,2.5278,-3,1.3052,-3,5.835,2.5183,0.48879,-3,1.9764
0.19836,14.962,2.3773,4.3755,2.9057,-3,-3,0.16884,0.67794,-3,5.2955,1.6589,5.164,0.40986,-3,-3,0.17939,5.4657,-3,-3,0.83814,1.5875
1.7881,11.262,4.1506,4.7454,2.029,10.581,0.79847,0.30267,6.6154,-3,21.238,0.70789,-3,9.0857,0.039639,-3,0.58918,3.8215,0.958,1.8041,0.52467,0.5294
